UID;Frage;Antwort;Subject;Zusatzangaben;Tausch;Phase;Eingabedatum;DueDate
1;¡Vete!;Geh weg!;ECOS Español;;;6;04.02.18;
2;¿Hay algo para comer?;Gibt es etwas zu essen?;ECOS Español;;;6;04.02.18;
3;¿Me traes un zumo?     Sí, ahora te llevo uno.;Bringst du mir einen Saft?     Ja, jetzt bringe ich dir einen.;ECOS Español;;;6;04.02.18;
4;¿Por qué has comprado el móvil?     ¿Para qué lo necesitas?;Warum hast du das Handy gekauft?     Wozu brauchst du es?;ECOS Español;;;6;04.02.18;
5;(freight) forwarder;Spediteur;Business English 1;;;3;12.01.14;28.01.14
6;(non-)binding offer;(un)verbindliches Angebot;Business English 2;;swapped;3;11.03.15;16.01.18
7;(un)verbindliches Angebot;(non-)binding offer;Business English 2;;;2;11.03.15;10.06.15
8;(Vertrags-)Bestimmung / Klausel;stipulation;Business English 2;;;5;11.03.15;06.04.18
9;2007 hatten die Professoren recht was die Krise angeht.;En 2007 los profesores tuvieron razon acerca de la crisis.;Español Gramática;;swapped;4;10.02.18;30.03.18
10;2016 hatte ich die Chance in Kalifornien zu studieren.;En 2016 tenía la posibilidad de estudiar en California.;Español Gramática;;swapped;3;18.02.18;13.03.18
11;3 Gänge Menü;three course meal;Business English 1;;swapped;5;04.11.13;14.04.14
12;5% de descuento;5% Rabatt;Malaga 2018;;swapped;5;29.03.18;12.01.19
13;5% Rabatt;5% de descuento;Malaga 2018;;;5;29.03.18;12.01.19
14;a. m.;above mentioned;Business English 1;;;4;04.11.13;28.01.14
15;abarcar     La oferta de arvato abarca todos rendimientos en el processo / un volumen de prestaciones extenso.;umfassen     Das Angebot von arvato umfasst alle Leistungen im Prozess / einen umfrangreichen Leistungsumfang.   ;El arte de empezar;;swapped;6;21.05.17;
16;abbreviated;verkürzt;Business English 2;;;2;11.03.15;23.12.15
17;Abhängig von den Zielen, lassen sich verschiedene linguistische Mittel nutzen.;Dependiente de los objectivos, se usarán recursos lingüísticos diferentes.;Español Gramática;;swapped;1;04.03.18;10.03.18
18;a bit of a nuisance;kleines Ärgernis;Business English 1;;swapped;1;01.12.13;06.01.18
19;ab Lager lieferbar;available from stock;Business English 1;;swapped;4;04.11.13;28.01.14
20;ablehnen;refuse;Business English 2;;;1;11.03.15;19.03.15
21;ablehnen;rechazar;El arte de empezar;;;6;21.05.17;
22;Abneigung;disinclination;Business English 2;;;1;11.03.15;11.03.15
23;above mentioned;a. m.;Business English 1;;swapped;5;04.11.13;19.03.16
24;abrir / cancelar una cuenta;eine Rechnung öffnen / schließen;Malaga 2018;;;5;29.03.18;12.01.19
25;ab sofort;desde ahora mismo;El arte de empezar;;;2;20.01.18;05.12.18
26;absolute Wichtigkeit;paramount importance;Business English 2;;swapped;1;11.03.15;11.03.15
27;acabar  me acaban de robar;vollziehen/beenden  sie haben es geschafft mich zu beklauen;El arte de empezar;;swapped;6;21.05.17;
28;Acabo de comer.;Ich habe gerade gegessen.;Español Gramática;;swapped;3;18.02.18;13.03.18
